model,item,feature,value,shap_value,expected_value
GBM_4,9,BW,1.67,0.07416907192327679,3.1744285651222284
GBM_4,10,BW,2.06,-0.7590972067318708,2.341162286467081
GBM_4,11,BW,1.85,0.02626929064063407,3.1265287838395857
GBM_4,12,BW,2.03,-0.5734044362353274,2.5268550569636243
GBM_4,13,BW,2.01,-0.6145109176598514,2.4857485755391004
GBM_4,14,BW,1.99,-0.1258658944989942,2.9743935986999577
GBM_4,15,BW,2.1,-0.7414486391361268,2.358810854062825
GBM_4,16,BW,2.11,-0.7550636726371083,2.3451958205618437
GBM_4,17,BW,1.9,-0.1501177443404298,2.950141748858522
GBM_4,18,BW,2.02,-0.6454422748374546,2.454817218361497
GBM_4,19,BW,1.52,0.4707566306139282,3.57101612381288
GBM_4,20,BW,1.73,0.011537723862664051,3.111797217061616
GBM_4,21,BW,1.48,0.3627113941070459,3.462970887305998
GBM_4,22,BW,1.89,-0.10456032598452136,2.9956991672144304
GBM_4,23,BW,1.73,0.02822808329260995,3.128487576491562
GBM_4,24,BW,1.92,-0.007598013710499396,3.092661479488452
GBM_4,25,BW,1.6,0.5066453028828993,3.606904796081851
GBM_4,26,BW,1.73,0.02949402506057852,3.1297535182595304
GBM_4,27,BW,1.77,0.11141706043280908,3.2116765536317606
GBM_4,28,BW,1.75,0.05421051142411171,3.1544700046230636
GBM_4,29,BW,1.84,-0.02289517991315082,3.077364313285801
GBM_4,30,BW,1.97,-0.034197325649608756,3.066062167549343
GBM_4,31,BW,1.67,0.040506985075815904,3.1407664782747675
GBM_4,32,BW,1.93,-0.011907722808149335,3.0883517703908026
GBM_4,33,BW,1.87,0.014825378089409036,3.115084871288361
GBM_4,34,BW,1.82,0.11163577435127883,3.2118952675502306
GBM_4,35,BW,1.89,-0.1286932925758842,2.9715662006230676
GBM_4,36,BW,1.95,-0.002305674975576988,3.097953818223375
GBM_4,37,BW,1.71,0.021537313665812477,3.121796806864764
GBM_4,38,BW,1.69,0.05549700873357866,3.1557565019325304
GBM_4,39,BW,1.73,0.07386791746316013,3.174127410662112
GBM_4,40,BW,1.95,-0.021666509231855424,3.0785929839670962
GBM_4,41,BW,2.01,-0.6327616220790812,2.4674978711198707
